"id","first_name","last_name","known_name","squad","total_points","avg_points","last_3_avg","last_5_avg","high_score","low_score","last_match_points","owned_by"
"427637","Brenden","Aaronson",,"PHI","81","3.12","3","4","10","0","1","0.21"
"203478","Anatole","Abang",,"NY","0","0","0","0","0","0",,"0"
"202402","Saad","Abdul-Salaam",,"SEA","49","2.88","2.33","1.6","10","0",,"0.81"
"244927","Lalas","Abubakar",,"COL","93","4.43","4","4.6","10","0","6","1.1"
"126174","David","Accam",,"CLB","72","3.27","3.33","2.2","15","0",,"0.58"
"193611","Bryan","Acosta",,"DAL","102","4.25","4","4.4","10","1","2","0.53"
"220877","Danilo","Acosta",,"ORL","26","3.25","2","3.8","10","1",,"0.14"
"149528","Kellyn","Acosta",,"COL","88","3.03","2.33","2.2","8","1","2","0.45"
"179384","Luciano","Acosta",,"DC","124","4.28","1","2.2","15","-2","1","0.53"
"200735","Mo","Adams",,"ATL","25","1.92","2.67","1.8","6","0","1","0.05"
"95186","Fanendo","Adi",,"CIN","24","2","3","2.6","6","1",,"0.07"
"116185","Bismark","Adjei-Boateng","Nana","COL","0","0","4","2.8","0","0",,"0.02"
"153706","Ali","Adnan",,"VAN","123","4.56","4.33","4.2","9","-1","5","1.64"
"27058","Francois","Affolter",,"SJ","3","3","5","3.8","3","3",,"0.08"
"49483","Harrison","Afful",,"CLB","77","3.85","4.33","5","10","-1","5","1.04"
"83905","Juan","Agudelo",,"NE","92","3.54","1.33","2","13","0","1","0.27"
"426106","Jacob","Akanyirige",,"SJ","0","0","0","0","0","0",,"0.26"
"177947","Tesho","Akindele",,"ORL","101","3.88","0.67","1.2","13","0","1","0.34"
"215474","Ayo","Akinola",,"TOR","18","2.25","1.33","1.2","10","1",,"0.23"
"163482","Fatai","Alashe",,"CIN","16","1.78","1.33","1.2","6","0",,"0.3"
"141538","Nazmi","Albadawi",,"CIN","1","1","1","1","1","1",,"0.05"
"86140","Romain","Alessandrini",,"LA","17","3.4","4","3.4","8","1",,"0.08"
"82518","Eric","Alexander",,"DAL","15","2.5","3.67","2.6","5","1",,"0.08"
"177980","Jordan","Allen",,"RSL","0","0","2.5","2.5","0","0",,"0.02"
"110557","RJ","Allen",,"PHI","0","0","2.33","2","0","0",,"0.02"
"38530","Lu?s Carlos","Almeida da Cunha","Nani","ORL","179","6.39","10.33","7.8","18","1","5","2.27"
"60244","Osvaldo","Alonso",,"MIN","123","4.92","4.67","4.8","9","3","6","0.41"
"41574","Jozy","Altidore",,"TOR","124","6.2","6","6.8","12","0","5","0.76"
"224430","Efrain","Alvarez",,"LA","25","1.92","2","1.4","7","-2","1","0.3"
"169881","Favio","Alvarez",,"LA","78","4.59","4.67","3.2","11","1",,"0.44"
"132000","Fabio","Alves","Fabinho","PHI","1","1","3","3.8","1","1",,"0.08"
"60225","Quincy","Amarikwa",,"DC","28","1.33","1","1","6","0","1","0.41"
"474183","Frankie","Amaya",,"CIN","0","0","0","0","0","0",,"0"
"424659","Frankie","Amaya",,"CIN","51","2.83","4.67","3.6","5","0","4","0.55"
"135297","Mikey","Ambrose",,"ATL","3","0.75","1.33","2","2","-1",,"0.04"
"426582","Sebastian","Anderson",,"COL","10","1.67","1.67","1.2","4","0",,"0.72"
"223234","Isaac","Angking",,"NE","0","0","1.33","1.33","0","0",,"0.02"
"95228","Jalil","Anibaba",,"NE","68","3.58","2.67","3","11","-3",,"0.19"
"234964","Uriel","Antuna",,"LA","112","4","9","7.2","14","1","14","0.67"
"201913","Pablo","Aranguiz",,"DAL","24","2.18","1.33","2","5","1",,"0.03"
"436893","Julian","Araujo",,"LA","43","2.69","2","1.6","9","0","4","0.35"
"100819","Heber","Araujo dos Santos",,"NYC","130","6.5","5","6.6","15","1",,"0.67"
"244709","Joaquin","Ardaiz",,"VAN","18","1.13","1.33","1.4","2","0",,"0.08"
"176416","Hugo","Arellano",,"LA","0","0","0.67","1.2","0","0",,"0.01"
"422981","Luis","Argudo",,"CLB","57","2.71","3","2.6","12","1","1","0.09"
"185826","Xavier","Arreaga",,"SEA","36","2.77","3.33","3.4","6","1",,"0.37"
"223355","Luis","Arriaga",,"RSL","2","1","1","1","1","1",,"4.17"
"166921","Paul","Arriola",,"DC","122","4.52","5.33","4.4","12","0","4","0.72"
"170062","Carlos","Ascues",,"ORL","63","3.71","0","0.8","15","0","0","0.17"
"474179","Anderson","Asiedu",,"ATL","0","0","0","0","0","0",,"0"
"149675","Dairon","Asprilla",,"POR","13","1.18","1.33","0.8","2","-2",,"0.34"
"94305","Jeff","Attinella",,"POR","37","3.7","3.67","3.8","6","2",,"0.13"
"234384","Francis","Atuahene",,"DAL","6","6","6","6","6","6",,"0.89"
"232274","Eduard","Atuesta",,"LAFC","188","6.96","4.33","4.6","15","3","6","0.78"
"163042","Micheal","Azira",,"CHI","73","3.17","1.33","1.8","7","1",,"0.13"
"202376","Dominique","Badji",,"DAL","91","3.37","1.67","2.8","13","1","1","0.67"
"421350","Theo","Bair",,"VAN","34","2.27","2.33","2.8","7","0","2","1.73"
"197422","Corey","Baird",,"RSL","84","3","2.33","3.6","11","1","3","0.29"
"226311","Jon","Bakero",,"TOR","0","0","2","1.6","0","0",,"0.02"
"244407","Michael","Baldisimo",,"VAN","0","0","0","0","0","0",,"1.03"
